Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,128.7826570593429,129.39552641230082,122.74288026621998,123.63253784179688,112117500,0.0,0.0
2023-01-04 00:00:00-05:00,125.4316068972832,127.18126787275598,123.64241229292817,124.90769958496094,89113600,0.0,0.0
2023-01-05 00:00:00-05:00,125.66884902202133,126.30149268134268,123.32609306355886,123.58309936523438,80962700,0.0,0.0
2023-01-06 00:00:00-05:00,124.5617315121944,128.79253144434853,123.45460129199294,128.13023376464844,87754700,0.0,0.0
2023-01-09 00:00:00-05:00,128.97047367930062,131.87668586554148,128.3971379685157,128.65414428710938,70790800,0.0,0.0
2023-01-10 00:00:00-05:00,128.76286346285156,129.7513700565325,126.64745995571087,129.2274627685547,63896200,0.0,0.0
2023-01-11 00:00:00-05:00,129.7414893304502,131.97550878336855,128.96057576470602,131.95574951171875,69458900,0.0,0.0
2023-01-12 00:00:00-05:00,132.34126249583184,132.71688473025435,129.92930408672314,131.8766632080078,71379600,0.0,0.0
2023-01-13 00:00:00-05:00,130.51251723414498,133.369300530634,130.14677464113623,133.2111358642578,57809700,0.0,0.0
2023-01-17 00:00:00-05:00,133.28035102906594,135.7120688975574,132.5883994032112,134.37759399414062,63646600,0.0,0.0
2023-01-18 00:00:00-05:00,135.24747146776636,137.01689153014115,133.47803632197883,133.65597534179688,69672800,0.0,0.0
2023-01-19 00:00:00-05:00,132.53899128723262,134.68404919653628,132.23255659782018,133.71531677246094,58280400,0.0,0.0
2023-01-20 00:00:00-05:00,133.72515693933153,136.4336701555814,132.67734247187641,136.28538513183594,80223600,0.0,0.0
2023-01-23 00:00:00-05:00,136.5325341153351,141.67278077878365,136.31506144495467,139.48817443847656,81760300,0.0,0.0
2023-01-24 00:00:00-05:00,138.6973598255773,141.51460969317372,138.68748018952127,140.891845703125,66435100,0.0,0.0
2023-01-25 00:00:00-05:00,139.27070057060922,140.79299416676852,137.21460493959157,140.22955322265625,65799300,0.0,0.0
2023-01-26 00:00:00-05:00,141.52450641893512,142.59209549504305,140.26909865118563,142.30543518066406,54105100,0.0,0.0
2023-01-27 00:00:00-05:00,141.51462437013356,145.53783884062292,141.43554202324185,144.25277709960938,70555800,0.0,0.0
2023-01-30 00:00:00-05:00,143.29392490593287,143.87714018615392,141.208175354279,141.3564453125,64015300,0.0,0.0
2023-01-31 00:00:00-05:00,141.05990031223737,142.68105066516867,140.64472931637368,142.63162231445312,65874500,0.0,0.0
2023-02-01 00:00:00-05:00,142.31530314667881,144.92496009089808,139.69576656602072,143.75851440429688,77663600,0.0,0.0
2023-02-02 00:00:00-05:00,147.18863235095503,149.44242627870938,146.46702672863907,149.08657836914062,118339000,0.0,0.0
2023-02-03 00:00:00-05:00,146.32863460622823,155.571177590554,146.13093629775682,152.72427368164062,154357300,0.0,0.0
2023-02-06 00:00:00-05:00,150.81647157748358,151.3403789118004,149.04703617157855,149.98611450195312,69858300,0.0,0.0
2023-02-07 00:00:00-05:00,148.90863720361276,153.44587898676582,148.90863720361276,152.87254333496094,83322600,0.0,0.0
2023-02-08 00:00:00-05:00,152.1114301464605,152.80338188493596,149.4325701004995,150.1739501953125,64120100,0.0,0.0
2023-02-09 00:00:00-05:00,152.0125597152097,152.55624141902396,148.6911765868534,149.13600158691406,56007100,0.0,0.0
2023-02-10 00:00:00-05:00,147.96776122616367,149.82898057113346,147.73015200690642,149.5022735595703,57450700,0.23,0.0
2023-02-13 00:00:00-05:00,149.44292440380676,152.71987521484465,149.41322512989285,152.31398010253906,62199000,0.0,0.0
2023-02-14 00:00:00-05:00,150.60122163396125,152.23475701699866,149.35380697400552,151.67044067382812,61707600,0.0,0.0
2023-02-15 00:00:00-05:00,151.58132321108715,153.9474604229768,151.35362380168024,153.77915954589844,65573800,0.0,0.0
2023-02-16 00:00:00-05:00,151.97733873436857,154.76919088525318,151.8189476677602,152.17535400390625,68167900,0.0,0.0
2023-02-17 00:00:00-05:00,150.8289620773623,151.47246651343528,149.34393789585803,151.02696228027344,59144100,0.0,0.0
2023-02-21 00:00:00-05:00,148.70037173778798,149.7893951720759,146.92825008356576,146.99754333496094,58867200,0.0,0.0
2023-02-22 00:00:00-05:00,147.3836697109664,148.4528887502369,145.69075089528818,147.42327880859375,51011300,0.0,0.0
2023-02-23 00:00:00-05:00,148.591484366889,148.83898834448985,145.7699480861059,147.9083709716797,48394200,0.0,0.0
2023-02-24 00:00:00-05:00,145.64123957502227,145.720442659753,144.26511807901926,145.2452392578125,55469600,0.0,0.0
2023-02-27 00:00:00-05:00,146.23526611588312,147.6806809778149,145.97785229460726,146.4431610107422,44998500,0.0,0.0
2023-02-28 00:00:00-05:00,145.58184135182967,147.59157242356576,145.36403664496177,145.93824768066406,50547000,0.0,0.0
2023-03-01 00:00:00-05:00,145.3640663789477,145.76006677801212,143.56222981837666,143.85923767089844,55479000,0.0,0.0
2023-03-02 00:00:00-05:00,142.9385388044501,145.24527828276618,142.46332016838264,144.45326232910156,52238100,0.0,0.0
2023-03-03 00:00:00-05:00,146.56197176838737,149.60132834219667,145.85906882111533,149.52212524414062,70732300,0.0,0.0
2023-03-06 00:00:00-05:00,152.2545193273777,154.73946858972164,151.9278274154318,152.29412841796875,87558000,0.0,0.0
2023-03-07 00:00:00-05:00,152.16543476603405,152.49214181283335,149.62110185942342,150.08641052246094,56182000,0.0,0.0
2023-03-08 00:00:00-05:00,151.2843667063331,151.93778099624427,150.31415510117412,151.34376525878906,47204800,0.0,0.0
2023-03-09 00:00:00-05:00,152.02683517023416,152.99704649679572,148.73008049756518,149.08648681640625,53833600,0.0,0.0
2023-03-10 00:00:00-05:00,148.7103138108838,149.43302127956616,146.1362661024609,147.0173797607422,68572400,0.0,0.0
2023-03-13 00:00:00-04:00,146.33425116280637,151.6110378452132,146.2253488070177,148.9676971435547,84457100,0.0,0.0
2023-03-14 00:00:00-04:00,149.7696098588517,151.86843881288326,148.60139830336453,151.0665283203125,73695900,0.0,0.0
2023-03-15 00:00:00-04:00,149.68050801163758,151.71993837140982,148.42318357477492,151.46253967285156,77167900,0.0,0.0
2023-03-16 00:00:00-04:00,150.64084473187137,154.8979167381579,150.12603215969472,154.29400634765625,76161100,0.0,0.0
2023-03-17 00:00:00-04:00,154.52170325241562,155.17511745555205,152.7396713831552,153.45248413085938,98944600,0.0,0.0
2023-03-20 00:00:00-04:00,153.52176753764005,156.24431116818113,152.61093964757077,155.8284912109375,73641400,0.0,0.0
2023-03-21 00:00:00-04:00,155.74929005159728,157.80850958417452,154.97706384382835,157.68971252441406,73938300,0.0,0.0
2023-03-22 00:00:00-04:00,157.70955140928402,160.5211932163919,156.23442213481738,156.2542266845703,75701800,0.0,0.0
2023-03-23 00:00:00-04:00,157.24422341863578,159.93706781022715,156.10569609721924,157.3432159423828,67622100,0.0,0.0
2023-03-24 00:00:00-04:00,157.27394850099208,158.73916800835937,156.27403774029648,158.6500701904297,59196500,0.0,0.0
2023-03-27 00:00:00-04:00,158.34316780021032,159.1648829259014,156.2938273470206,156.69973754882812,52390300,0.0,0.0
2023-03-28 00:00:00-04:00,156.39283166414998,156.90764422361815,154.4226943488484,156.07601928710938,45992200,0.0,0.0
2023-03-29 00:00:00-04:00,157.77883979840226,159.44207447801494,157.75905035570605,159.1648712158203,51305700,0.0,0.0
2023-03-30 00:00:00-04:00,159.9172833200629,160.84790077737682,159.659884598305,160.73899841308594,49501700,0.0,0.0
2023-03-31 00:00:00-04:00,160.8182007028279,163.35263923391068,160.29349343380431,163.25363159179688,68749800,0.0,0.0
2023-04-03 00:00:00-04:00,162.62991638134497,164.62973762588464,162.5804125649775,164.5109405517578,56976200,0.0,0.0
2023-04-04 00:00:00-04:00,164.936680918264,165.17427510350078,163.46155155698554,163.9763641357422,46278300,0.0,0.0
2023-04-05 00:00:00-04:00,163.0952264685397,163.40212898364032,160.1845772758085,162.125,51511700,0.0,0.0
2023-04-06 00:00:00-04:00,160.80827539475462,163.31302951982073,160.3825758088242,163.01602172851562,45390100,0.0,0.0
